0;2024/04/02 14:31:00
1;2024/04/02 14:31:00
0;2024/06/05 18:37:24
1;2024/06/05 18:37:52
0;2024/06/05 18:38:07
1;2024/06/05 18:38:11
0;2024/06/05 18:38:25
1;2024/06/05 18:38:28
0;2024/06/06 17:53:19
0;2024/06/06 17:54:53
1;2024/06/06 17:54:58
0;2024/06/06 17:55:00
1;2024/06/06 17:55:03
0;2024/06/06 19:19:48
1;2024/06/06 19:19:51
0;2024/06/06 19:23:49
0;2024/06/06 19:23:50
0;2024/06/06 19:23:50
0;2024/06/06 19:23:50
0;2024/06/06 19:23:50
0;2024/06/06 19:23:51
0;2024/06/06 19:24:28
0;2024/06/06 19:24:29
1;2024/06/06 19:24:32
1;2024/06/07 08:48:00
0;2024/06/07 08:48:19
1;2024/06/07 09:11:20
0;2024/06/07 09:34:35
1;2024/06/07 09:34:38
